[startup] background telemetry producer started
[storage] saving telemetry at 2026-04-04T12:29:22.662305+00:00
[background] stored telemetry at 2026-04-04T12:29:22.662305+00:00
[generator] generated telemetry at 2026-04-04T12:29:23.667307+00:00
[storage] saving telemetry at 2026-04-04T12:29:23.667307+00:00
[background] stored telemetry at 2026-04-04T12:29:23.667307+00:00
[generator] generated telemetry at 2026-04-04T12:29:24.667311+00:00
[storage] saving telemetry at 2026-04-04T12:29:24.667311+00:00
[background] stored telemetry at 2026-04-04T12:29:24.667311+00:00
[generator] generated telemetry at 2026-04-04T12:29:25.670310+00:00
[storage] saving telemetry at 2026-04-04T12:29:25.670310+00:00
[background] stored telemetry at 2026-04-04T12:29:25.670310+00:00
[generator] generated telemetry at 2026-04-04T12:29:26.661307+00:00
[storage] saving telemetry at 2026-04-04T12:29:26.661307+00:00
[background] stored telemetry at 2026-04-04T12:29:26.661307+00:00
[generator] generated telemetry at 2026-04-04T12:29:27.666278+00:00
[storage] saving telemetry at 2026-04-04T12:29:27.666278+00:00
[background] stored telemetry at 2026-04-04T12:29:27.666278+00:00
[generator] generated telemetry at 2026-04-04T12:29:28.670308+00:00
[storage] saving telemetry at 2026-04-04T12:29:28.670308+00:00
[background] stored telemetry at 2026-04-04T12:29:28.670308+00:00
[generator] generated telemetry at 2026-04-04T12:29:29.674278+00:00
[storage] saving telemetry at 2026-04-04T12:29:29.674278+00:00
[background] stored telemetry at 2026-04-04T12:29:29.674278+00:00
[generator] generated telemetry at 2026-04-04T12:29:30.678276+00:00
[storage] saving telemetry at 2026-04-04T12:29:30.678276+00:00
[background] stored telemetry at 2026-04-04T12:29:30.678276+00:00
[generator] generated telemetry at 2026-04-04T12:29:31.699042+00:00
[storage] saving telemetry at 2026-04-04T12:29:31.699042+00:00
[background] stored telemetry at 2026-04-04T12:29:31.699042+00:00
[generator] generated telemetry at 2026-04-04T12:29:32.717076+00:00
[storage] saving telemetry at 2026-04-04T12:29:32.717076+00:00
[background] stored telemetry at 2026-04-04T12:29:32.717076+00:00
[generator] generated telemetry at 2026-04-04T12:29:33.719068+00:00
[storage] saving telemetry at 2026-04-04T12:29:33.719068+00:00
[background] stored telemetry at 2026-04-04T12:29:33.719068+00:00
[generator] generated telemetry at 2026-04-04T12:29:34.715040+00:00
[storage] saving telemetry at 2026-04-04T12:29:34.715040+00:00
[background] stored telemetry at 2026-04-04T12:29:34.715040+00:00
[generator] generated telemetry at 2026-04-04T12:29:35.713749+00:00
[storage] saving telemetry at 2026-04-04T12:29:35.713749+00:00
[background] stored telemetry at 2026-04-04T12:29:35.713749+00:00
[generator] generated telemetry at 2026-04-04T12:29:36.741975+00:00
[storage] saving telemetry at 2026-04-04T12:29:36.741975+00:00
[background] stored telemetry at 2026-04-04T12:29:36.741975+00:00
[generator] generated telemetry at 2026-04-04T12:29:37.754007+00:00
[storage] saving telemetry at 2026-04-04T12:29:37.754007+00:00
[background] stored telemetry at 2026-04-04T12:29:37.754007+00:00
[generator] generated telemetry at 2026-04-04T12:29:38.761004+00:00
[storage] saving telemetry at 2026-04-04T12:29:38.761004+00:00
[background] stored telemetry at 2026-04-04T12:29:38.761004+00:00
[generator] generated telemetry at 2026-04-04T12:29:39.767008+00:00
[storage] saving telemetry at 2026-04-04T12:29:39.767008+00:00
[background] stored telemetry at 2026-04-04T12:29:39.767008+00:00
[generator] generated telemetry at 2026-04-04T12:29:40.771977+00:00
[storage] saving telemetry at 2026-04-04T12:29:40.771977+00:00
[background] stored telemetry at 2026-04-04T12:29:40.771977+00:00
[generator] generated telemetry at 2026-04-04T12:29:41.772007+00:00
[storage] saving telemetry at 2026-04-04T12:29:41.772007+00:00
[background] stored telemetry at 2026-04-04T12:29:41.772007+00:00
[generator] generated telemetry at 2026-04-04T12:29:42.784979+00:00
[storage] saving telemetry at 2026-04-04T12:29:42.784979+00:00
[background] stored telemetry at 2026-04-04T12:29:42.784979+00:00
[generator] generated telemetry at 2026-04-04T12:29:43.787008+00:00
[storage] saving telemetry at 2026-04-04T12:29:43.787008+00:00
[background] stored telemetry at 2026-04-04T12:29:43.787008+00:00
[generator] generated telemetry at 2026-04-04T12:29:44.792006+00:00
[storage] saving telemetry at 2026-04-04T12:29:44.792006+00:00
[background] stored telemetry at 2026-04-04T12:29:44.792006+00:00
[generator] generated telemetry at 2026-04-04T12:29:45.797973+00:00
[storage] saving telemetry at 2026-04-04T12:29:45.797973+00:00
[background] stored telemetry at 2026-04-04T12:29:45.797973+00:00
[generator] generated telemetry at 2026-04-04T12:29:46.801809+00:00
[storage] saving telemetry at 2026-04-04T12:29:46.801809+00:00
[background] stored telemetry at 2026-04-04T12:29:46.801809+00:00
[generator] generated telemetry at 2026-04-04T12:29:47.805778+00:00
[storage] saving telemetry at 2026-04-04T12:29:47.805778+00:00
[background] stored telemetry at 2026-04-04T12:29:47.805778+00:00
[generator] generated telemetry at 2026-04-04T12:29:48.809778+00:00
[storage] saving telemetry at 2026-04-04T12:29:48.809778+00:00
[background] stored telemetry at 2026-04-04T12:29:48.809778+00:00
[generator] generated telemetry at 2026-04-04T12:29:49.831780+00:00
[storage] saving telemetry at 2026-04-04T12:29:49.831780+00:00
[background] stored telemetry at 2026-04-04T12:29:49.831780+00:00
[generator] generated telemetry at 2026-04-04T12:29:50.835814+00:00
[storage] saving telemetry at 2026-04-04T12:29:50.835814+00:00
[background] stored telemetry at 2026-04-04T12:29:50.835814+00:00
[generator] generated telemetry at 2026-04-04T12:29:51.840780+00:00
[storage] saving telemetry at 2026-04-04T12:29:51.840780+00:00
[background] stored telemetry at 2026-04-04T12:29:51.840780+00:00
[generator] generated telemetry at 2026-04-04T12:29:52.846780+00:00
[storage] saving telemetry at 2026-04-04T12:29:52.846780+00:00
[background] stored telemetry at 2026-04-04T12:29:52.846780+00:00
[generator] generated telemetry at 2026-04-04T12:29:53.848781+00:00
[storage] saving telemetry at 2026-04-04T12:29:53.848781+00:00
[background] stored telemetry at 2026-04-04T12:29:53.848781+00:00
[generator] generated telemetry at 2026-04-04T12:29:54.855778+00:00
[storage] saving telemetry at 2026-04-04T12:29:54.855778+00:00
[background] stored telemetry at 2026-04-04T12:29:54.855778+00:00
[generator] generated telemetry at 2026-04-04T12:29:55.861778+00:00
[storage] saving telemetry at 2026-04-04T12:29:55.861778+00:00
[background] stored telemetry at 2026-04-04T12:29:55.861778+00:00
[generator] generated telemetry at 2026-04-04T12:29:56.864778+00:00
[storage] saving telemetry at 2026-04-04T12:29:56.864778+00:00
[background] stored telemetry at 2026-04-04T12:29:56.864778+00:00
[generator] generated telemetry at 2026-04-04T12:29:57.869813+00:00
[storage] saving telemetry at 2026-04-04T12:29:57.869813+00:00
[background] stored telemetry at 2026-04-04T12:29:57.869813+00:00
[generator] generated telemetry at 2026-04-04T12:29:58.875809+00:00
[storage] saving telemetry at 2026-04-04T12:29:58.875809+00:00
[background] stored telemetry at 2026-04-04T12:29:58.875809+00:00
[generator] generated telemetry at 2026-04-04T12:29:59.939779+00:00
[storage] saving telemetry at 2026-04-04T12:29:59.939779+00:00
[background] stored telemetry at 2026-04-04T12:29:59.939779+00:00
[generator] generated telemetry at 2026-04-04T12:30:00.928937+00:00
[storage] saving telemetry at 2026-04-04T12:30:00.928937+00:00
[background] stored telemetry at 2026-04-04T12:30:00.928937+00:00
[generator] generated telemetry at 2026-04-04T12:30:01.930971+00:00
[storage] saving telemetry at 2026-04-04T12:30:01.930971+00:00
[background] stored telemetry at 2026-04-04T12:30:01.930971+00:00
[generator] generated telemetry at 2026-04-04T12:30:02.935940+00:00
[storage] saving telemetry at 2026-04-04T12:30:02.935940+00:00
[background] stored telemetry at 2026-04-04T12:30:02.935940+00:00
[generator] generated telemetry at 2026-04-04T12:30:03.932940+00:00
[storage] saving telemetry at 2026-04-04T12:30:03.932940+00:00
[background] stored telemetry at 2026-04-04T12:30:03.932940+00:00
[generator] generated telemetry at 2026-04-04T12:30:04.933970+00:00
[storage] saving telemetry at 2026-04-04T12:30:04.933970+00:00
[background] stored telemetry at 2026-04-04T12:30:04.933970+00:00
[generator] generated telemetry at 2026-04-04T12:30:05.939968+00:00
[storage] saving telemetry at 2026-04-04T12:30:05.939968+00:00
[background] stored telemetry at 2026-04-04T12:30:05.939968+00:00
[generator] generated telemetry at 2026-04-04T12:30:06.929942+00:00
[storage] saving telemetry at 2026-04-04T12:30:06.929942+00:00
[background] stored telemetry at 2026-04-04T12:30:06.929942+00:00
[generator] generated telemetry at 2026-04-04T12:30:07.932970+00:00
[storage] saving telemetry at 2026-04-04T12:30:07.932970+00:00
[background] stored telemetry at 2026-04-04T12:30:07.932970+00:00
[generator] generated telemetry at 2026-04-04T12:30:08.937970+00:00
[storage] saving telemetry at 2026-04-04T12:30:08.937970+00:00
[background] stored telemetry at 2026-04-04T12:30:08.937970+00:00
[generator] generated telemetry at 2026-04-04T12:30:09.941940+00:00
[storage] saving telemetry at 2026-04-04T12:30:09.941940+00:00
[background] stored telemetry at 2026-04-04T12:30:09.941940+00:00
[generator] generated telemetry at 2026-04-04T12:30:10.946939+00:00
[storage] saving telemetry at 2026-04-04T12:30:10.946939+00:00
[background] stored telemetry at 2026-04-04T12:30:10.946939+00:00
[generator] generated telemetry at 2026-04-04T12:30:11.950968+00:00
[storage] saving telemetry at 2026-04-04T12:30:11.950968+00:00
[background] stored telemetry at 2026-04-04T12:30:11.950968+00:00
[generator] generated telemetry at 2026-04-04T12:30:12.956937+00:00
[storage] saving telemetry at 2026-04-04T12:30:12.956937+00:00
[background] stored telemetry at 2026-04-04T12:30:12.956937+00:00
[generator] generated telemetry at 2026-04-04T12:30:13.959968+00:00
[storage] saving telemetry at 2026-04-04T12:30:13.959968+00:00
[background] stored telemetry at 2026-04-04T12:30:13.959968+00:00
[generator] generated telemetry at 2026-04-04T12:30:14.965975+00:00
[storage] saving telemetry at 2026-04-04T12:30:14.965975+00:00
[background] stored telemetry at 2026-04-04T12:30:14.965975+00:00
[generator] generated telemetry at 2026-04-04T12:30:15.971305+00:00
[storage] saving telemetry at 2026-04-04T12:30:15.971305+00:00
[background] stored telemetry at 2026-04-04T12:30:15.971305+00:00
